"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","usageType","operation","Region Code","serviceName"
"22KMQNUEHYNCZY4R","JRTCKXETXF","22KMQNUEHYNCZY4R.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.31 per ACU / month analyzed in Asia Pacific (Singapore) region","2025-07-01","0","Inf","ACU-Months","0.3100000000","USD","GuardDuty","AmazonGuardDuty","Asia Pacific (Singapore)","AWS Region","Security Services - Amazon GuardDuty Paid RDS ACU Monitored - CreateDBInstance:0003","APS1-PaidRDSACUMonitored","CreateDBInstance:0003","ap-southeast-1","Amazon GuardDuty"
"22VAWU7EN69UDQNR","JRTCKXETXF","22VAWU7EN69UDQNR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per vCPU / month analyzed (free trial) in Asia Pacific (Jakarta) region","2025-07-01","0","Inf","vCPU-Months","0.0000000000","USD","GuardDuty","AmazonGuardDuty","Asia Pacific (Jakarta)","AWS Region","Security Services - Amazon GuardDuty Free RDS vCPU Monitored - CreateDBInstance:0003","APS4-FreeRDSvCPUMonitored","CreateDBInstance:0003","ap-southeast-3","Amazon GuardDuty"
"237H78WFAA29H78Q","JRTCKXETXF","237H78WFAA29H78Q.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per vCPU / month analyzed (free trial) in Asia Pacific (Hyderabad) region","2025-07-01","0","Inf","vCPU-Months","0.0000000000","USD","GuardDuty","AmazonGuardDuty","Asia Pacific (Hyderabad)","AWS Region","Security Services - Amazon GuardDuty Free RDS vCPU Monitored - CreateDBInstance:0019","APS5-FreeRDSvCPUMonitored","CreateDBInstance:0019","ap-south-2","Amazon GuardDuty"
"23EA3TB9VSFMCCH7","JRTCKXETXF","23EA3TB9VSFMCCH7.JRTCKXETXF.C2QCTD4VXQ","OnDemand","$1.15 per GB for the first 500 GB / month of data analyzed Asia Pacific (Seoul) region","2025-07-01","0","500","GB","1.1500000000","USD","GuardDuty","AmazonGuardDuty","Asia Pacific (Seoul)","AWS Region","Security Services - Amazon GuardDuty Paid Data Events Processed","APN2-PaidEventsAnalyzed-Bytes","","ap-northeast-2","Amazon GuardDuty"
"23EA3TB9VSFMCCH7","JRTCKXETXF","23EA3TB9VSFMCCH7.JRTCKXETXF.FNVAXVYQW3","OnDemand","$0.58 per GB for the next 2000 GB / month of data analyzed Asia Pacific (Seoul) region","2025-07-01","500","2500","GB","0.5800000000","USD","GuardDuty","AmazonGuardDuty","Asia Pacific (Seoul)","AWS Region","Security Services - Amazon GuardDuty Paid Data Events Processed","APN2-PaidEventsAnalyzed-Bytes","","ap-northeast-2","Amazon GuardDuty"
"23EA3TB9VSFMCCH7","JRTCKXETXF","23EA3TB9VSFMCCH7.JRTCKXETXF.HUSW68NB95","OnDemand","$0.29 per GB for the next 7500 GB / month of data analyzed Asia Pacific (Seoul) region","2025-07-01","2500","10000","GB","0.2900000000","USD","GuardDuty","AmazonGuardDuty","Asia Pacific (Seoul)","AWS Region","Security Services - Amazon GuardDuty Paid Data Events Processed","APN2-PaidEventsAnalyzed-Bytes","","ap-northeast-2","Amazon GuardDuty"
"23EA3TB9VSFMCCH7","JRTCKXETXF","23EA3TB9VSFMCCH7.JRTCKXETXF.B536CJ4M58","OnDemand","$0.17 per GB over 10000 GB / month of data analyzed Asia Pacific (Seoul) region","2025-07-01","10000","Inf","GB","0.1700000000","USD","GuardDuty","AmazonGuardDuty","Asia Pacific (Seoul)","AWS Region","Security Services - Amazon GuardDuty Paid Data Events Processed","APN2-PaidEventsAnalyzed-Bytes","","ap-northeast-2","Amazon GuardDuty"
"23JBSFD56ZC6AQA6","JRTCKXETXF","23JBSFD56ZC6AQA6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per vCPU / month monitored (free trial) in Europe (London) region","2025-07-01","0","Inf","vCPU-Months","0.0000000000","USD","GuardDuty","AmazonGuardDuty","EU (London)","AWS Region","Security Services - Amazon GuardDuty Free EC2 vCPU Monitored","EUW2-FreeEC2vCPUMonitored","","eu-west-2","Amazon GuardDuty"
"23PDSWRNQ6TKFTNT","JRTCKXETXF","23PDSWRNQ6TKFTNT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per vCPU / month analyzed (free trial) in US West (Oregon) region","2025-07-01","0","Inf","vCPU-Months","0.0000000000","USD","GuardDuty","AmazonGuardDuty","US West (Oregon)","AWS Region","Security Services - Amazon GuardDuty Free RDS vCPU Monitored - CreateDBInstance:0006","USW2-FreeRDSvCPUMonitored","CreateDBInstance:0006","us-west-2","Amazon GuardDuty"
"24HCWSSM84P274XD","JRTCKXETXF","24HCWSSM84P274XD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.31 per ACU / month analyzed in Asia Pacific (Hong Kong) region","2025-07-01","0","Inf","ACU-Months","0.3100000000","USD","GuardDuty","AmazonGuardDuty","Asia Pacific (Hong Kong)","AWS Region","Security Services - Amazon GuardDuty Paid RDS ACU Monitored - CreateDBInstance:0006","APE1-PaidRDSACUMonitored","CreateDBInstance:0006","ap-east-1","Amazon GuardDuty"
